NdUnfilled_min_value,MendeleevNumber_composition_average,MendeleevNumber_arithmetic_average,MeltingT_difference,NdUnfilled_arithmetic_average,BCCmagmom_min_value,NdUnfilled_composition_average,BCCenergy_pa_max_value,ElasticModulus_difference,NpUnfilled_difference,MendeleevNumber_max_value,BCCvolume_padiff_difference,HeatVaporization_max_value,ICSDVolume_min_value,IonicRadii_arithmetic_average,GSenergy_pa_min_value,BCCenergy_pa_min_value,MiracleRadius_min_value,ThermalExpansionCoefficient_difference,IonicRadii_composition_average
0,59.5,59.5,2203.32,2.5,0,2.5,-10.84610777,227,0,69,0,590.4,15.1,0.665,-10.84610777,-10.84610777,139,25.4,0.665
0,67,67,1806,2.5,0,2.5,-10.84610777,283,0,84,0,590.4,15.5,0.585,-10.84610777,-10.84610777,115,10.6,0.585
0,64.5,64.5,1684.6,2.5,0,2.5,-10.84610777,207,0,79,0,590.4,15.5,0.56,-10.84610777,-10.84610777,114,0.9,0.56
4,53.5,53.5,410,4.5,0,4.5,-10.84610777,228,0,57,0,627.6,13.8,0.61,-10.84610777,-10.84610777,135,0.3,0.61
0,66.5,66.5,2578.7,2.5,0,2.5,-10.84610777,317,0,83,0,590.4,15.5,0.38,-10.84610777,-10.84610777,102,122.2,0.38
0,65.5,65.5,2295.39,2.5,0,2.5,-10.84610777,302,0,81,0,590.4,15.5,0.89,-10.84610777,-10.84610777,139,24,0.89
1,56.5,56.5,854.6,3,0,3,-10.84610777,147,0,63,0,590.4,15.1,0.61,-10.84610777,-10.84610777,139,4,0.61
3,53,53,289,4,5.73E-05,4,-10.84610777,108,0,56,0,590.4,14,0.605,-10.84610777,-10.84610777,134,1.6,0.605
0,67.5,67.5,1992.22,2.5,0,2.5,-10.84610777,255,0,85,0,590.4,15.5,0.675,-10.84610777,-10.84610777,139,6.2,0.675
5,30.5,30.5,1082,7,0,7,-10.84610777,242,0,50,0,590.4,15.5,0.67,-10.84610777,-10.84610777,139,5.2,0.67
0,64,64,1209,2.5,0,2.5,-10.84610777,160,0,78,0,590.4,15.5,0.425,-10.84610777,-10.84610777,110,2.2,0.425
0,65,65,2390.92,2.5,0,2.5,-10.84610777,272,0,80,0,590.4,15.5,0.65,-10.84610777,-10.84610777,139,17.2,0.65
5,46.5,46.5,955,6.5,0,6.5,-10.84610777,212,0,50,0,590.4,15.5,0.6,-10.84610777,-10.84610777,139,3.8,0.6
0,63,63,2319,2.5,0,2.5,-10.84610777,310,0,76,0,590.4,15.5,1.09,-10.84610777,-10.84610777,139,25.1,1.09
5,47,47,768,6.5,0,6.5,-10.84610777,228,0,50,0,590.5,15.5,0.715,-10.84610777,-10.84610777,139,0.9,0.715
2,61,61,0,2,0.0645672,2,-5.43913904,0,0,61,0,377.5,10.8,0.69,-5.54632457,-5.43913904,126,0,0.69
0,63,63,493.07,1,0,1,-5.43913904,128,0,65,0.14,377.5,10.8,0.92,-5.54632457,-5.43913904,126,5.5,0.92
0,67,67,794.53,1,0,1,-5.43913904,137.5,0,73,0.43,377.5,10.8,0.615,-5.54632457,-5.43913904,126,9.7,0.615
0,63.5,63.5,390.67,1,0,1,-5.43913904,129.7,0,66,0.02,377.5,10.8,0.77,-5.54632457,-5.43913904,126,0.8,0.77
0,73.5,73.5,1183.6,1,0,1,-5.43913904,174,0,86,3.05,377.5,10.8,0.86,-5.54632457,-5.43913904,126,0,0.86
0,65.5,65.5,1133.78,1,0,1,-5.43913904,146,0,70,0.145,377.5,10.8,0.82,-5.54632457,-5.43913904,126,17.4,0.82
2,59.5,59.5,40,2.5,0.0645672,2.5,-5.43913904,0,0,61,0.185,377.5,10.8,0.67,-5.54632457,-5.43913904,125,0.4,0.67
2,55,55,452,3.5,0,3.5,-5.43913904,51,0,61,0.03,377.5,10.8,0.655,-5.54632457,-5.43913904,126,8.5,0.655
0,62.5,62.5,370.23,1,0,1,-5.43913904,84,0,64,0,377.5,10.8,0.71,-5.54632457,-5.43913904,126,3.1,0.71
2,58,58,83,3,0.0645672,3,-5.43913904,3,0,61,0.01,377.5,10.8,0.62,-5.54632457,-5.43913904,125,1.6,0.62
0,67.5,67.5,1425.09,1,0,1,-5.43913904,197,0,74,0.9275,377.5,10.8,0.655,-5.54632457,-5.43913904,126,6.3,0.655
0,70,70,516.6,1,0,1,-5.43913904,93,0,79,4.195,377.5,10.8,0.61,-5.54632457,-5.43913904,114,7.7,0.61
2,53,53,778,5,0,5,-5.43913904,69,0,61,0.34,661.07,10.8,0.76,-5.54632457,-5.43913904,126,7.5,0.76
0,66,66,1493.68,1,0,1,-5.43913904,186,0,71,2.917586207,377.5,10.8,0.855,-5.54632457,-5.43913904,126,35.6,0.855
0,68,68,1298.25,1,0,1,-5.43913904,194,0,75,0.16,377.5,10.8,0.745,-5.54632457,-5.43913904,126,18.7,0.745
2,60.5,60.5,1011,2.5,0.0645672,2.5,-5.43913904,325,0,61,0.41,563.58,10.8,0.66,-5.54632457,-5.43913904,126,7,0.66
0,64.5,64.5,805,1,0,1,-5.43913904,163.6,0,68,0.02,377.5,10.8,0.705,-5.54632457,-5.43913904,126,11.4,0.705
2,56.5,56.5,209,3.5,0.0645672,3.5,-5.43913904,10,0,61,0.012413793,377.5,10.8,0.68,-5.54632457,-5.43913904,126,8.3,0.68
2,55.5,55.5,1168,3.5,0,3.5,-5.43913904,114,0,61,0.01,590.4,10.8,0.64,-5.54632457,-5.43913904,126,8.6,0.64
2,54,54,1022,4,0,4,-5.43913904,104,0,61,0.01,690.1,10.8,0.665,-5.54632457,-5.43913904,126,6.1,0.665
2,59,59,1578,3,0,3,-5.43913904,342,0,61,0.48,627.6,10.8,0.66,-5.54632457,-5.43913904,126,8.3,0.66
0,71,71,1127.39,1,0,1,-5.43913904,188,0,81,0.2,377.5,10.8,0.94,-5.54632457,-5.43913904,126,15.4,0.94
0,61.5,61.5,100.05,1,0,1,-5.43913904,81,0,62,0.05,393.3,10.8,0.665,-5.54632457,-5.43913904,126,1.6,0.665
1,62,62,313.4,1.5,0,1.5,-5.43913904,33,0,63,0.04,510.45,10.8,0.66,-5.54632457,-5.43913904,126,4.6,0.66
2,57.5,57.5,1731,3.5,0,3.5,-5.43913904,253,0,61,0.135,707.1,10.8,0.61,-5.54632457,-5.43913904,126,7.2,0.61
2,60,60,509,2,0.0645672,2,-5.43913904,122,0,61,0.29,495.39,10.8,0.68,-5.54632457,-5.43913904,126,5.2,0.68
2,58.5,58.5,879,2.5,5.73E-05,2.5,-5.43913904,222,0,61,0.39,567.77,10.8,0.655,-5.54632457,-5.43913904,126,7,0.655
0,74.5,74.5,1339.64,1,0,1,-5.43913904,189,0,88,10.176875,377.5,10.8,0.49,-5.54632457,-5.43913904,103,56.6,0.49
0,73,73,824.22,1,0,1,-5.43913904,141,0,85,4.48,377.5,10.8,0.725,-5.54632457,-5.43913904,126,2.4,0.725
2,36,36,86,5.5,0,5.5,-5.43913904,128,0,61,0.045,377.5,10.8,0.72,-5.54632457,-5.43913904,126,3.4,0.72
0,69.5,69.5,41,1,0,1,-5.43913904,46,0,78,5.84,377.5,10.8,0.475,-5.54632457,-5.43913904,110,10.8,0.475
0,70.5,70.5,1222.92,1,0,1,-5.43913904,158,0,80,8.065,377.5,10.8,0.7,-5.54632457,-5.43913904,126,8.6,0.7
2,54.5,54.5,1562,4.5,0,4.5,-5.43913904,25,0,61,0.01,737,10.8,0.665,-5.54632457,-5.43913904,126,7.1,0.665
2,57,57,702,3.5,0,3.5,-5.43913904,172,0,61,0.145,502,10.8,0.625,-5.54632457,-5.43913904,126,5.4,0.625
2,52,52,213,5,0,5,-5.43913904,98,0,61,0.14,425.2,10.8,0.65,-5.54632457,-5.43913904,126,4.8,0.65
0,68.5,68.5,1151,1,0,1,-5.43913904,196,0,76,0.67,377.5,10.8,1.14,-5.54632457,-5.43913904,126,16.5,1.14
2,53.5,53.5,455,4.5,0,4.5,-5.43913904,79,0,61,0.01,446.7,10.8,0.615,-5.54632457,-5.43913904,126,5,0.615
2,56,56,1967,4,0,4,-5.43913904,193,0,61,0.01,422.58,10.8,0.645,-5.54632457,-5.43913904,126,8.9,0.645
0,65,65,1035.32,1,0,1,-5.43913904,113,0,69,0.19,377.5,10.8,0.715,-5.54632457,-5.43913904,126,16.8,0.715
2,52.5,52.5,400,5,0,5,-5.43913904,114,0,61,0.455,590.5,10.8,0.765,-5.54632457,-5.43913904,126,7.7,0.765
0,81,81,0,0,0,0,-3.58277457,0,0,81,0,177.9,30.3,1.19,-3.62902961,-3.58277457,174,0,1.19
0,73,73,634.32,0,0,0,-3.58277457,60,4,81,0,250.63,17,1.17,-3.62902961,-3.58277457,144,9.9,1.17
0,75.5,75.5,6.39,0,0,0,-3.58277457,42,4,81,0,177.9,21.5,1.07,-3.62902961,-3.58277457,157,2,1.07
5,65.5,65.5,2295.39,2.5,0,2.5,-3.58277457,302,4,81,0,590.4,15.5,0.89,-3.62902961,-3.58277457,139,24,0.89
6,64,64,2149.39,3,0,3,-3.58277457,84,4,81,0,690.1,18.1,0.915,-3.62902961,-3.58277457,143,21.5,0.915
0,71.5,71.5,1227.44,0,0,0,-3.58277457,107,4,81,0,393.3,14.7,0.915,-3.62902961,-3.58277457,142,17,0.915
9,46.5,46.5,1198.39,4.5,0,4.5,-3.58277457,44.4,4,81,0,393.3,30.3,1.105,-3.62902961,-3.58277457,174,17.5,1.105
8,62.5,62.5,1527.39,4,0,4,-3.58277457,74,4,81,0,590.5,23.2,1.015,-3.62902961,-3.58277457,158,23.1,1.015
0,62,62,0,0,0,0,-5.0910129,0,0,62,0,393.3,14.7,0.64,-5.13777457,-5.0910129,142,0,0.64
0,63.5,63.5,593.12,0,0,0,-5.0910129,47,0,65,0.19,393.3,14.7,0.895,-5.13777457,-5.0910129,142,7.1,0.895
0,64,64,490.72,0,0,0,-5.0910129,48.7,0,66,0.03,393.3,14.7,0.745,-5.13777457,-5.0910129,142,2.4,0.745
0,66,66,1233.83,0,0,0,-5.0910129,65,0,70,0.095,393.3,14.7,0.795,-5.13777457,-5.0910129,142,19,0.795
3,60,60,60.05,1.5,1.6840372,1.5,-5.0910129,81,0,62,0.135,393.3,11.1,0.645,-5.13777457,-5.0910129,125,1.2,0.645
5,55.5,55.5,351.95,2.5,0,2.5,-5.0910129,132,0,62,0.08,393.3,12,0.63,-5.13777457,-5.0910129,130,6.9,0.63
0,63,63,470.28,0,0,0,-5.0910129,3,0,64,0.05,393.3,11.8,0.685,-5.13777457,-5.0910129,126,4.7,0.685
4,58.5,58.5,17.05,2,2.1106628,2,-5.0910129,84,0,62,0.06,393.3,11.7,0.595,-5.13777457,-5.0910129,125,0,0.595
8,53.5,53.5,677.95,4,0,4,-5.0910129,12,0,62,0.39,661.07,14.7,0.735,-5.13777457,-5.0910129,142,5.9,0.735
0,66.5,66.5,1593.73,0,0,0,-5.0910129,105,0,71,2.967586207,393.3,14.7,0.83,-5.13777457,-5.0910129,142,37.2,0.83
3,61,61,910.95,1.5,0.4830855,1.5,-5.0910129,406,0,62,0.36,563.58,13.8,0.635,-5.13777457,-5.0910129,136,5.4,0.635
9,37.5,37.5,635.05,4.5,0.0008051,4.5,-5.0910129,77,0,62,0.5125,399.57,14.7,0.9,-5.13777457,-5.0910129,142,6.6,0.9
5,57,57,309.05,2.5,0.8185729,2.5,-5.0910129,71,0,62,0.037586207,393.3,12.2,0.655,-5.13777457,-5.0910129,132,9.9,0.655
5,56,56,1067.95,2.5,0,2.5,-5.0910129,195,0,62,0.06,590.4,14.7,0.615,-5.13777457,-5.0910129,139,7,0.615
6,54.5,54.5,921.95,3,0,3,-5.0910129,23,0,62,0.06,690.1,14.7,0.64,-5.13777457,-5.0910129,142,4.5,0.64
2,61.5,61.5,100.05,1,0.0645672,1,-5.0910129,81,0,62,0.05,393.3,10.8,0.665,-5.13777457,-5.0910129,126,1.6,0.665
4,59.5,59.5,1477.95,2,0,2,-5.0910129,423,0,62,0.43,627.6,13.8,0.635,-5.13777457,-5.0910129,135,6.7,0.635
1,62.5,62.5,213.35,0.5,0,0.5,-5.0910129,48,0,63,0.01,510.45,14.7,0.635,-5.13777457,-5.0910129,139,3,0.635
5,58,58,1630.95,2.5,0,2.5,-5.0910129,334,0,62,0.085,707.1,14.7,0.585,-5.13777457,-5.0910129,137,5.6,0.585
2,60.5,60.5,408.95,1,0.3703569,1,-5.0910129,203,0,62,0.24,495.39,11.5,0.655,-5.13777457,-5.0910129,132,3.6,0.655
3,59,59,778.95,1.5,5.73E-05,1.5,-5.0910129,303,0,62,0.34,567.77,14,0.63,-5.13777457,-5.0910129,134,5.4,0.63
9,36.5,36.5,14.05,4.5,0,4.5,-5.0910129,47,0,62,0.095,393.3,14.7,0.695,-5.13777457,-5.0910129,142,1.8,0.695
7,55,55,1461.95,3.5,0,3.5,-5.0910129,56,0,62,0.06,737,14.7,0.64,-5.13777457,-5.0910129,142,5.5,0.64
5,57.5,57.5,601.95,2.5,0,2.5,-5.0910129,253,0,62,0.095,502,14.2,0.6,-5.13777457,-5.0910129,136,3.8,0.6
8,52.5,52.5,112.95,4,0,4,-5.0910129,17,0,62,0.09,425.2,14.7,0.625,-5.13777457,-5.0910129,142,3.2,0.625
7,54,54,354.95,3.5,0,3.5,-5.0910129,2,0,62,0.06,446.7,13.8,0.59,-5.13777457,-5.0910129,134,3.4,0.59
6,56.5,56.5,1866.95,3,0,3,-5.0910129,274,0,62,0.06,422.58,14.7,0.62,-5.13777457,-5.0910129,135,7.3,0.62
9,37,37,29.05,4.5,0,4.5,-5.0910129,62.6,0,62,0.105,393.3,14.7,0.83,-5.13777457,-5.0910129,142,0.5,0.83
0,65.5,65.5,1135.37,0,0,0,-5.0910129,32,0,69,0.14,393.3,14.7,0.69,-5.13777457,-5.0910129,140,18.4,0.69
8,53,53,299.95,4,0,4,-5.0910129,33,0,62,0.505,590.5,14.7,0.74,-5.13777457,-5.0910129,142,6.1,0.74
1,63,63,0,1,0,1,-5.92513799,0,0,63,0,510.45,15.1,0.63,-6.02850968,-5.92513799,139,0,0.63
0,64,64,806.47,0.5,0,0.5,-5.92513799,95,0,65,0.18,510.45,15.1,0.89,-6.02850968,-5.92513799,139,10.1,0.89
0,64.5,64.5,704.07,0.5,0,0.5,-5.92513799,96.7,0,66,0.02,510.45,15.1,0.74,-6.02850968,-5.92513799,139,5.4,0.74
0,66.5,66.5,1447.18,0.5,0,0.5,-5.92513799,113,0,70,0.105,510.45,15.1,0.79,-6.02850968,-5.92513799,139,22,0.79
1,60.5,60.5,273.4,2,1.6840372,2,-5.92513799,33,0,63,0.145,510.45,11.1,0.64,-6.02850968,-5.92513799,125,4.2,0.64
1,56,56,138.6,3,0,3,-5.92513799,84,0,63,0.07,510.45,12,0.625,-6.02850968,-5.92513799,130,3.9,0.625
0,63.5,63.5,683.63,0.5,0,0.5,-5.92513799,51,0,64,0.04,510.45,11.8,0.68,-6.02850968,-5.92513799,126,7.7,0.68
1,59,59,230.4,2.5,2.1106628,2.5,-5.92513799,36,0,63,0.05,510.45,11.7,0.59,-6.02850968,-5.92513799,125,3,0.59
1,54,54,464.6,4.5,0,4.5,-5.92513799,36,0,63,0.38,661.07,15.1,0.73,-6.02850968,-5.92513799,139,2.9,0.73
0,67,67,1807.08,0.5,0,0.5,-5.92513799,153,0,71,2.957586207,510.45,15.1,0.825,-6.02850968,-5.92513799,139,40.2,0.825
1,61.5,61.5,697.6,2,0.4830855,2,-5.92513799,358,0,63,0.37,563.58,13.8,0.63,-6.02850968,-5.92513799,136,2.4,0.63
1,38,38,848.4,5,0.0008051,5,-5.92513799,125,0,63,0.5225,510.45,15.1,0.895,-6.02850968,-5.92513799,139,3.6,0.895
1,57.5,57.5,522.4,3,0.8185729,3,-5.92513799,23,0,63,0.027586207,510.45,12.2,0.65,-6.02850968,-5.92513799,132,12.9,0.65
1,56.5,56.5,854.6,3,0,3,-5.92513799,147,0,63,0.05,590.4,15.1,0.61,-6.02850968,-5.92513799,139,4,0.61
1,55,55,708.6,3.5,0,3.5,-5.92513799,71,0,63,0.05,690.1,15.1,0.635,-6.02850968,-5.92513799,139,1.5,0.635
1,62,62,313.4,1.5,0.0645672,1.5,-5.92513799,33,0,63,0.04,510.45,10.8,0.66,-6.02850968,-5.92513799,126,4.6,0.66
1,60,60,1264.6,2.5,0,2.5,-5.92513799,375,0,63,0.44,627.6,13.8,0.63,-6.02850968,-5.92513799,135,3.7,0.63
0,62.5,62.5,213.35,0.5,0,0.5,-5.92513799,48,0,63,0.01,510.45,14.7,0.635,-6.02850968,-5.92513799,139,3,0.635
1,58.5,58.5,1417.6,3,0,3,-5.92513799,286,0,63,0.095,707.1,14.7,0.58,-6.02850968,-5.92513799,137,2.6,0.58
1,61,61,195.6,1.5,0.3703569,1.5,-5.92513799,155,0,63,0.25,510.45,11.5,0.65,-6.02850968,-5.92513799,132,0.6,0.65
1,59.5,59.5,565.6,2,5.73E-05,2,-5.92513799,255,0,63,0.35,567.77,14,0.625,-6.02850968,-5.92513799,134,2.4,0.625
1,37,37,227.4,5,0,5,-5.92513799,95,0,63,0.085,510.45,15.1,0.69,-6.02850968,-5.92513799,139,1.2,0.69
1,55.5,55.5,1248.6,4,0,4,-5.92513799,8,0,63,0.05,737,15.1,0.635,-6.02850968,-5.92513799,139,2.5,0.635
1,58,58,388.6,3,0,3,-5.92513799,205,0,63,0.105,510.45,14.2,0.595,-6.02850968,-5.92513799,136,0.8,0.595
1,53,53,100.4,4.5,0,4.5,-5.92513799,65,0,63,0.1,510.45,15.1,0.62,-6.02850968,-5.92513799,139,0.2,0.62
1,54.5,54.5,141.6,4,0,4,-5.92513799,46,0,63,0.05,510.45,13.8,0.585,-6.02850968,-5.92513799,134,0.4,0.585
1,57,57,1653.6,3.5,0,3.5,-5.92513799,226,0,63,0.05,510.45,15.1,0.615,-6.02850968,-5.92513799,135,4.3,0.615
1,37.5,37.5,242.4,5,0,5,-5.92513799,110.6,0,63,0.115,510.45,15.1,0.825,-6.02850968,-5.92513799,139,2.5,0.825
0,66,66,1348.72,0.5,0,0.5,-5.92513799,80,0,69,0.15,510.45,15.1,0.685,-6.02850968,-5.92513799,139,21.4,0.685
1,53.5,53.5,86.6,4.5,0,4.5,-5.92513799,81,0,63,0.495,590.5,15.1,0.735,-6.02850968,-5.92513799,139,3.1,0.735
6,51,51,0,6,0,6,-12.95880062,0,0,51,0,422.58,15.8,0.6,-12.95880062,-12.95880062,135,0,0.6
0,58,58,2460.07,3,0,3,-12.95880062,321,0,65,0,422.58,15.8,0.875,-12.95880062,-12.95880062,135,14.4,0.875
0,62,62,2761.53,3,0,3,-12.95880062,330.5,0,73,0,422.58,15.8,0.57,-12.95880062,-12.95880062,135,18.6,0.57
0,67.5,67.5,2605,3,0,3,-12.95880062,362,0,84,0,422.58,15.8,0.59,-12.95880062,-12.95880062,115,10.9,0.59
0,58.5,58.5,2357.67,3,0,3,-12.95880062,322.7,0,66,0,422.58,15.8,0.725,-12.95880062,-12.95880062,135,9.7,0.725
0,29,29,2580,3,0,3,-12.95880062,380,0,51,0,422.58,15.8,0.8,-12.95880062,-12.95880062,135,17.8,0.8
0,60.5,60.5,3100.78,3,0,3,-12.95880062,339,0,70,0,422.58,15.8,0.775,-12.95880062,-12.95880062,135,26.3,0.775
3,54.5,54.5,1927,4.5,1.6840372,4.5,-12.95880062,193,0,58,0,422.58,11.1,0.625,-12.95880062,-12.95880062,125,8.5,0.625
5,50,50,1515,5.5,0,5.5,-12.95880062,142,0,51,0,422.58,12,0.61,-12.95880062,-12.95880062,130,0.4,0.61
0,57.5,57.5,2337.23,3,0,3,-12.95880062,277,0,64,0,422.58,11.8,0.665,-12.95880062,-12.95880062,126,12,0.665
4,53,53,1884,5,2.1106628,5,-12.95880062,190,0,55,0,422.58,11.7,0.575,-12.95880062,-12.95880062,125,7.3,0.575
0,62.5,62.5,3392.09,3,0,3,-12.95880062,390,0,74,0,422.58,15.8,0.61,-12.95880062,-12.95880062,134,15.2,0.61
0,65,65,2483.6,3,0,3,-12.95880062,286,0,79,0,422.58,15.8,0.565,-12.95880062,-12.95880062,114,1.2,0.565
6,48,48,1189,7,0,7,-12.95880062,262,0,51,0,661.07,15.8,0.715,-12.95880062,-12.95880062,135,1.4,0.715
0,61,61,3460.68,3,0,3,-12.95880062,379,0,71,0,422.58,15.8,0.81,-12.95880062,-12.95880062,135,44.5,0.81
0,63,63,3265.25,3,0,3,-12.95880062,387,0,75,0,422.58,15.8,0.7,-12.95880062,-12.95880062,135,27.6,0.7
0,59.5,59.5,2772,3,0,3,-12.95880062,356.6,0,68,0,422.58,15.8,0.66,-12.95880062,-12.95880062,135,20.3,0.66
5,51.5,51.5,2176,5.5,0.8185729,5.5,-12.95880062,203,0,52,0,422.58,12.2,0.635,-12.95880062,-12.95880062,132,17.2,0.635
5,50.5,50.5,799,5.5,0,5.5,-12.95880062,79,0,51,0,590.4,15.5,0.595,-12.95880062,-12.95880062,135,0.3,0.595
2,56,56,1967,4,0.0645672,4,-12.95880062,193,0,61,0,422.58,10.8,0.645,-12.95880062,-12.95880062,126,8.9,0.645
0,67,67,3377.7,3,0,3,-12.95880062,396,0,83,0,422.58,15.8,0.385,-12.95880062,-12.95880062,102,122.5,0.385
0,56.5,56.5,1866.95,3,0,3,-12.95880062,274,0,62,0,422.58,14.7,0.62,-12.95880062,-12.95880062,135,7.3,0.62
1,57,57,1653.6,3.5,0,3.5,-12.95880062,226,0,63,0,510.45,15.1,0.615,-12.95880062,-12.95880062,135,4.3,0.615
2,55,55,1458,4,0.3703569,4,-12.95880062,71,0,59,0,495.39,11.5,0.635,-12.95880062,-12.95880062,132,3.7,0.635
3,53.5,53.5,1088,4.5,5.73E-05,4.5,-12.95880062,29,0,56,0,567.77,14,0.61,-12.95880062,-12.95880062,134,1.9,0.61
6,31,31,1881,7.5,0,7.5,-12.95880062,321,0,51,0,422.58,15.8,0.675,-12.95880062,-12.95880062,135,5.5,0.675
0,64.5,64.5,2008,3,0,3,-12.95880062,239,0,78,0,422.58,15.8,0.43,-12.95880062,-12.95880062,110,1.9,0.43
0,29.5,29.5,2645,3,0,3,-12.95880062,386,0,51,0,422.58,15.8,0.93,-12.95880062,-12.95880062,135,18,0.93
0,63.5,63.5,3118,3,0,3,-12.95880062,389,0,76,0,422.58,15.8,1.095,-12.95880062,-12.95880062,135,25.4,1.095
6,48.5,48.5,1512,6.5,0,6.5,-12.95880062,272,0,51,0,446.7,13.8,0.57,-12.95880062,-12.95880062,134,3.9,0.57
6,31.5,31.5,1896,7.5,0,7.5,-12.95880062,336.6,0,51,0,422.58,15.8,0.81,-12.95880062,-12.95880062,135,6.8,0.81
0,60,60,3002.32,3,0,3,-12.95880062,306,0,69,0,422.58,15.1,0.67,-12.95880062,-12.95880062,135,25.7,0.67
6,47.5,47.5,1567,7,0,7,-12.95880062,307,0,51,0,590.5,15.8,0.72,-12.95880062,-12.95880062,135,1.2,0.72
8,44,44,0,8,0,8,-8.46727487,0,0,44,0,590.5,23.2,0.84,-8.545958555,-8.46727487,158,0,0.84
5,46.5,46.5,52,6.5,0,6.5,-8.46727487,165,0,49,0,590.5,12,0.73,-8.545958555,-8.46727487,130,0.8,0.73
0,54,54,770.23,4,0,4,-8.46727487,30,0,64,0,590.5,11.8,0.785,-8.545958555,-8.46727487,126,10.8,0.785
7,45,45,55,7.5,0,7.5,-8.46727487,35,0,46,0,590.5,13.8,0.69,-8.545958555,-8.46727487,134,2.7,0.69
0,56.5,56.5,1435.32,4,0,4,-8.46727487,1,0,69,0,590.5,15.1,0.79,-8.545958555,-8.46727487,140,24.5,0.79
5,47,47,768,6.5,0,6.5,-8.46727487,228,0,50,0,590.5,15.5,0.715,-8.545958555,-8.46727487,139,0.9,0.715
6,47.5,47.5,1567,7,0,7,-8.46727487,307,0,51,0,590.5,15.8,0.72,-8.545958555,-8.46727487,135,1.2,0.72
0,58.5,58.5,1194.53,4,0,4,-8.46727487,23.5,0,73,0,590.5,16.6,0.69,-8.545958555,-8.46727487,141,17.4,0.69
0,55,55,790.67,4,0,4,-8.46727487,15.7,0,66,0,590.5,16.9,0.845,-8.545958555,-8.46727487,143,8.5,0.845
0,54.5,54.5,893.07,4,0,4,-8.46727487,14,0,65,0,590.5,17,0.995,-8.545958555,-8.46727487,144,13.2,0.995
6,45.5,45.5,622,7,0,7,-8.46727487,10,0,47,0,690.1,18.1,0.74,-8.545958555,-8.46727487,143,1.6,0.74
7,46,46,1162,7.5,0,7.5,-8.46727487,89,0,48,0,737,17.6,0.74,-8.545958555,-8.46727487,145,0.6,0.74
8,43.5,43.5,187,8,0,8,-8.46727487,16,0,44,0,590.5,17.6,0.725,-8.545958555,-8.46727487,142,2.9,0.725
8,44.5,44.5,378,8,0,8,-8.46727487,45,0,45,0,661.07,22.4,0.835,-8.545958555,-8.46727487,158,0.2,0.835
0,62,62,1622.92,4,0,4,-8.46727487,44,0,80,0,590.5,23.2,0.775,-8.545958555,-8.46727487,155,16.3,0.775
